metro,metro2,country,rank_300,Nominal GDP 2015,Nominal GDP per capita 2015,Output per worker 2015,Compound growth real GDP 2000-2015,Compound growth real GDP per capita 2000-2015,Compound growth output per worker 2000-2015,Traded Sector productivity differential 2015,Stock of foreign direct investment per capita 2009-2015,Stock of foreing direct onvestment 2009-2015,Share of publications in top 10 percent 2010-2013,Patents per capita 2008-2012,Stock of venture capital per capita 2006-2015,Share of population with tertiary Education 2015 or most recent year available,Aviation passengers 2014,Download Speeds 2015,label_cluster,cluster name
Pretoria,Pretoria,South Africa,229,61240.20000,19140.55000,23.86599,0.04108,0.01558,0.01517,0.00270,922.60400,2951.87160,0.07796,0.00226,0.00000,7.80000,11.00000,6.46783,3,Emerging gateways
Qingdao,Qingdao,China,52,265789.30000,29356.66000,44.89074,0.13069,0.11624,0.08307,3.68233,922.81190,8354.95410,0.07593,0.00052,0.00000,10.10000,30738468.00000,18.57075,1,Factory China
Rio de Janeiro,Rio de Janeiro,Brazil,67,233237.90000,19162.31000,24.42141,0.01232,0.00613,-0.00186,0.54764,1399.35900,17032.58200,0.06966,0.03096,0.01813,12.00000,38223920.00000,14.50432,3,Emerging gateways
Riverside,"Riverside-San Bernardino-Ontario, CA",USA,87,167864.20000,37393.24000,108.97960,0.02624,0.00493,0.00724,0.01264,798.04820,3582.56520,0.16559,0.17478,0.04318,23.75322,11309784.00000,40.53070,6,American Middleweights
Rome,Roma,Italy,76,207501.80000,46443.84000,97.24277,0.00503,-0.00579,-0.00817,0.26164,923.33480,4125.27490,0.10598,0.23665,0.00770,23.30000,51113308.00000,11.27159,7,International Middleweights
Rotterdam-Amsterdam,Randstad Holland,Netherlands,31,397398.50000,55609.76000,106.15110,0.01241,0.00683,0.00780,0.01805,2823.29500,20175.82800,0.16703,0.75743,0.27142,36.80000,56504816.00000,47.00074,7,International Middleweights
Sacramento,"Sacramento--Roseville--Arden-Arcade, CA",USA,105,126102.60000,55449.36000,121.60740,0.01479,-0.00061,0.00642,0.29063,765.17490,1740.15630,0.15790,0.48002,0.32899,35.03067,17172646.00000,29.36122,6,American Middleweights
Saint Petersburg,Saint Petersburg,Russia,114,158084.30000,30458.81000,22.52813,0.05350,0.04631,0.03687,0.31944,2242.06900,11636.56200,0.07653,0.13489,0.02731,36.50000,16026266.00000,30.84731,3,Emerging gateways
San Antonio,"San Antonio-New Braunfels, TX",USA,130,113909.80000,47779.44000,100.52540,0.03014,0.00796,0.01323,-0.05050,1038.40000,2475.62350,0.13457,0.22169,0.28574,28.93240,15907187.00000,21.86855,6,American Middleweights
San Diego,"San Diego-Carlsbad, CA",USA,56,217562.30000,65937.55000,131.07930,0.02132,0.01086,0.01288,0.39841,625.75060,2064.67720,0.19164,5.18751,4.51763,38.15306,35625148.00000,29.77917,2,Knowledge Centers
San Francisco,"San Francisco-Oakland-Hayward, CA",USA,28,375054.60000,80550.67000,149.08250,0.01687,0.00887,0.01368,0.40543,1625.79900,7569.93360,0.22531,3.23908,19.18391,46.66284,96655232.00000,36.63614,2,Knowledge Centers
San Jose,"San Jose-Sunnyvale-Santa Clara, CA",USA,80,180756.50000,91437.28000,161.75400,0.02617,0.01743,0.02654,0.37029,1795.79700,3549.99710,0.23115,9.42078,30.83733,47.35563,17645360.00000,37.56134,2,Knowledge Centers
Santiago,Santiago,Chile,71,213907.80000,29303.24000,32.75813,0.04562,0.03304,0.02200,0.28806,1196.58500,8734.82810,0.10134,0.05032,0.02119,38.80000,17017240.00000,15.53970,3,Emerging gateways
Sao Paulo,Sao Paulo,Brazil,15,579472.80000,27366.41000,33.84615,0.02435,0.01456,0.00182,1.01176,1651.00300,34959.32000,0.07053,0.07144,0.07130,13.30000,65752760.00000,24.45513,3,Emerging gateways
Seattle,"Seattle-Tacoma-Bellevue, WA",USA,40,285633.90000,76504.04000,133.77280,0.02159,0.00796,0.01294,0.26304,435.34870,1625.40930,0.19533,2.10472,3.28698,43.56554,62008028.00000,41.78311,2,Knowledge Centers
Seoul-Incheon,Seoul,South Korea,4,903465.70000,36002.39000,42.02375,0.04100,0.02999,0.02180,-0.00372,704.98700,17691.36700,0.07473,1.40417,0.04708,40.60000,87322896.00000,63.26759,4,Asian Anchors
Shanghai,Shanghai,China,8,809506.60000,32683.70000,30.01038,0.10112,0.06990,0.07339,2.03603,3187.22600,78940.88300,0.09282,0.25714,0.22674,23.70000,145600000.00000,30.34929,4,Asian Anchors
Shenyang,Shenyang,China,59,230103.10000,27868.65000,41.07442,0.12970,0.11954,0.12775,3.84331,1250.64900,10326.23100,0.07343,0.10693,0.00522,19.60000,21460140.00000,16.76183,1,Factory China
Shenzhen,Shenzhen,China,23,490761.20000,45373.63000,27.59026,0.13038,0.09924,0.04405,1.74038,1043.76700,11289.38100,,2.99481,0.10853,14.90000,61467328.00000,29.12005,3,Emerging gateways
Shijiazhuang,Shijiazhuang,China,100,156263.90000,14680.52000,51.54078,0.10906,0.09853,0.08670,7.44834,39.39403,419.32190,0.07367,0.02432,0.00148,10.80000,9222402.00000,13.55018,1,Factory China
Singapore,Singapore,Singapore,21,468087.20000,84399.34000,73.89198,0.05184,0.02964,0.01463,0.00000,14723.26000,81656.69500,0.13905,0.62497,0.40254,51.50000,57938296.00000,105.79350,4,Asian Anchors
St. Louis,"St. Louis, MO-IL",USA,95,146024.40000,51936.64000,95.90109,0.00678,0.00354,0.00629,-0.13814,328.27090,922.96259,0.18634,0.64614,0.35101,36.46564,23377828.00000,39.02562,6,American Middleweights
