metro,label_cluster,cluster name,gmm14_2015_nomgdp,gdp_pc_nom2015,nom_prod15,compound_growth_realgdp15,compound_growth_real_gdp_pc15,compound_growth_producti_15,trade_prod_diff,fdipc15,stockvalue15,share10pc13,patentspc12,vcpc15,ed15,pass15,down15
New York,5,Global Giants,1492242,73938.13,158.3386475701,0.0157487,0.0115981,0.0108443,0.4737908,1319.008,26620.629,0.1782806,0.7619203,1.706632,39.35655,192000000,43.04864
Ningbo,3,Emerging gateways,233000,30165.72,46.7704314522,0.1113394,0.0937017,0.0169364,1.785145,1601.871,12372.853,,0.0005171,0,11.4,18489430,20.69105
Orlando,6,American Middleweights,125897.9,52740.09,107.6906429897,0.025122,0.0004682,0.008919,0.0167365,1231.722,2940.2893,0.1230538,0.3440251,0.2896351,34.96596,67753816,32.16544
Osaka-Kobe,5,Global Giants,680997.4,36534.98,76.5621549912,0.0044931,0.0041412,0.0058866,0.0492514,174.298,3248.8457,0.0894351,1.672237,0.0014399,38.4,53314064,61.44961
Paris,5,Global Giants,818522.1,65354.2,125.2865517664,0.0133073,0.0073293,0.0098119,0.3222909,1608.665,20147.566,0.156345,1.140155,0.4230623,44,101800000,59.05003
Perth,7,International Middleweights,139281.5,66959.04,131.0391382068,0.0562345,0.0304613,0.0265807,0.6456677,2981.053,6200.8882,0.1232451,0.474743,0.0218078,29.7,17835108,11.43873
Philadelphia,2,Knowledge Centers,363643.7,59909.59,126.8151462419,0.0103373,0.0060168,0.0085342,0.1115712,416.633,2528.9102,0.1677984,1.139837,1.041276,36.32897,45106992,39.0898
Phoenix,6,American Middleweights,214809,46957.61,110.7571179607,0.0224487,-0.0001096,0.0095993,-0.0974877,587.648,2688.2139,0.1350182,0.5613018,0.4621078,33.32612,66025480,34.84627
Pittsburgh,6,American Middleweights,141339.1,60066.46,120.040342101,0.0130049,0.0151333,0.0124279,-0.0107342,210.0253,494.19904,0.1604946,0.8374996,0.8289219,38.23161,15476989,28.59046
Portland,2,Knowledge Centers,159218.7,66640.22,139.4294746613,0.0393545,0.0248386,0.0310259,0.3169818,881.8379,2106.9119,,1.627327,0.9670958,38.82481,29091156,36.37465
Pretoria,3,Emerging gateways,61240.2,19140.55,49.951223491,0.0410834,0.0155763,0.0151684,0.0026996,922.604,2951.8716,0.0779621,0.0022609,0,7.8,11,6.467832
Qingdao,1,Factory China,265789.3,29356.66,93.5034968479,0.1306927,0.1162367,0.0830703,3.682327,922.8119,8354.9541,0.0759348,0.0005197,0,10.1,30738468,18.57075
Rio de Janeiro,3,Emerging gateways,233237.9,19162.31,41.8056496568,0.0123228,0.0061331,-0.0018604,0.5476367,1399.359,17032.582,0.0696646,0.0309557,0.0181314,12,38223920,14.50432
Riverside,6,American Middleweights,167864.2,37393.24,121.0058821833,0.026237,0.0049288,0.0072357,0.0126418,798.0482,3582.5652,0.1655852,0.1747819,0.0431788,23.75322,11309784,40.5307
Rome,7,International Middleweights,207501.8,46443.84,97.5744380702,0.0050323,-0.0057934,-0.0081735,0.2616368,923.3348,4125.2749,0.1059798,0.2366463,0.007704,23.3,51113308,11.27159
Rotterdam-Amsterdam,7,International Middleweights,397398.5,55609.76,98.4634539148,0.012408,0.0068326,0.0078025,0.0180459,2823.295,20175.828,0.1670331,0.7574266,0.2714213,36.8,56504816,47.00074
Sacramento,6,American Middleweights,126102.6,55449.36,134.8431318035,0.0147918,-0.0006118,0.0064164,0.2906317,765.1749,1740.1563,0.1579029,0.4800178,0.328988,35.03067,17172646,29.36122
Saint Petersburg,3,Emerging gateways,158084.3,30458.81,54.290919706,0.0535018,0.0463056,0.0368673,0.3194371,2242.069,11636.562,0.0765305,0.1348855,0.0273132,36.5,16026266,30.84731
San Antonio,6,American Middleweights,113909.8,47779.44,110.4804857232,0.0301366,0.0079572,0.0132271,-0.0505036,1038.4,2475.6235,0.1345698,0.2216854,0.2857394,28.9324,15907187,21.86855
San Diego,2,Knowledge Centers,217562.3,65937.55,144.6682891473,0.021322,0.010861,0.0128789,0.3984127,625.7506,2064.6772,0.1916397,5.187512,4.517633,38.15306,35625148,29.77917
San Francisco,2,Knowledge Centers,375054.6,80550.67,164.5214438932,0.0168737,0.008873,0.0136802,0.4054332,1625.799,7569.9336,0.2253129,3.239079,19.18391,46.66284,96655232,36.63614
San Jose,2,Knowledge Centers,180756.5,91437.28,171.2877151088,0.0261684,0.0174257,0.0265422,0.3702897,1795.797,3549.9971,0.2311504,9.420778,30.83733,47.35563,17645360,37.56134
Santiago,3,Emerging gateways,213907.8,29303.24,64.8087620433,0.0456195,0.0330362,0.0220033,0.2880552,1196.585,8734.8281,0.1013437,0.0503175,0.021186,38.8,17017240,15.5397
Sao Paulo,3,Emerging gateways,579472.8,27366.41,57.0184494583,0.0243506,0.0145641,0.0018178,1.01176,1651.003,34959.32,0.0705256,0.0714369,0.0713044,13.3,65752760,24.45513
Seattle,2,Knowledge Centers,285633.9,76504.04,146.3101037265,0.0215904,0.0079582,0.0129377,0.2630428,435.3487,1625.4093,0.1953338,2.104715,3.286978,43.56554,62008028,41.78311
Seoul-Incheon,4,Asian Anchors,903465.7,36002.39,69.5326627365,0.0410037,0.0299872,0.0218011,-0.0037212,704.987,17691.367,0.0747312,1.40417,0.0470779,40.6,87322896,63.26759
Shanghai,4,Asian Anchors,809506.6,32683.7,69.7820438774,0.1011184,0.0699048,0.0733874,2.036027,3187.226,78940.883,0.0928173,0.2571439,0.2267392,23.7,145600000,30.34929
Shenyang,1,Factory China,230103.1,27868.65,87.9343539339,0.1296993,0.1195393,0.1277493,3.843313,1250.649,10326.231,0.07343,0.1069273,0.0052166,19.6,21460140,16.76183
Shenzhen,3,Emerging gateways,490761.2,45373.63,63.4763690923,0.1303763,0.0992377,0.0440481,1.740383,1043.767,11289.381,,2.994811,0.1085344,14.9,61467328,29.12005
Shijiazhuang,1,Factory China,156263.9,14680.52,106.6196558453,0.1090597,0.0985251,0.0866961,7.448339,39.39403,419.3219,0.073665,0.0243168,0.001479,10.8,9222402,13.55018
Singapore,4,Asian Anchors,468087.2,84399.34,128.4930138077,0.051835,0.0296438,0.0146267,0,14723.26,81656.695,0.1390525,0.6249735,0.4025427,51.5,57938296,105.7935
St. Louis,6,American Middleweights,146024.4,51936.64,106.5645958155,0.0067828,0.0035414,0.0062924,-0.1381412,328.2709,922.96259,0.1863364,0.6461431,0.3510059,36.46564,23377828,39.02562
Stockholm,2,Knowledge Centers,167911.4,64223.14,116.6618495102,0.0297529,0.01703,0.0181602,0.2648648,1641.065,4290.5645,0.1407724,2.624813,1.026399,42,30804376,63.99936
Stuttgart,7,International Middleweights,193142.5,61012.92,106.7675511332,0.013101,0.0092426,0.0071623,0.1767245,641.7072,2031.3882,0.136384,3.00956,0.3622357,31.5,13654886,34.21806
Suzhou,1,Factory China,440255.3,41306.34,102.7755003899,0.1286703,0.0950846,0.0425952,3.524314,3487.044,37165.957,0.0903174,0.0010032,0.0263399,3.6,1076720,31.60348
Sydney,7,International Middleweights,251253.6,51114.55,100.8564547206,0.0208925,0.007799,0.0051669,-0.0533425,5230.15,25708.805,0.132912,0.5994475,0.200422,34.5,49519916,17.07507
Tampa,6,American Middleweights,140263.4,47143.79,109.6784636317,0.0170763,0.0027239,0.0114222,-0.1336447,299.5901,891.34784,0.132733,0.2880904,0.3473226,34.22637,34745080,38.74167
Tangshan,1,Factory China,190742.8,24446.37,130.9435153912,0.1129196,0.1051891,0.0811697,7.915247,61.78928,482.11087,,0.0048183,0.008668,6.2,455584,12.69009
Tel Aviv,7,International Middleweights,144874.6,39161.65,78.9120322458,0.0325802,0.0140679,0.0046343,0.022368,368.5552,1363.4331,0.1056203,0.6007555,1.113057,39.1,22470500,27.28643
Tianjin,3,Emerging gateways,477807.7,30538.45,53.9420284947,0.1412908,0.1078089,0.0966564,1.886004,1364.637,21351.244,0.09795,0.0460404,0.0013291,17,21142196,16.63418
